바파, 69, 150
나바, 98, 160
다라, 75, 158
다하, 55, 156
자아, 83, 197
사자, 97, 170
아아, 81, 163
바사, 60, 171
하라, 68, 196
나차, 85, 196
나가, 55, 151
타하, 90, 179
하하, 70, 155
카사, 46, 181
마아, 74, 174
라하, 85, 145
아타, 41, 179
가아, 46, 152
파마, 97, 150
사자, 44, 175
아파, 99, 158
사차, 76, 147
자카, 54, 154
자마, 88, 176
마파, 60, 197
파사, 42, 194
타라, 92, 199
아아, 58, 156
파바, 99, 158
타차, 62, 170
마카, 60, 170
타라, 79, 172
가하, 42, 172
사아, 67, 155
자카, 88, 157
다자, 53, 165
바아, 67, 173
나라, 77, 166
바다, 74, 191
자마, 97, 175
하바, 83, 174
카바, 40, 149
하나, 96, 182
라다, 62, 176
자카, 62, 187
라아, 62, 189
아바, 73, 151
사카, 82, 167
바카, 89, 158
파하, 52, 175
나차, 87, 171
나다, 95, 154
카타, 98, 159
카자, 98, 143
다타, 45, 185
카가, 40, 193
차라, 84, 193
나바, 44, 154
파나, 76, 193
타라, 72, 174
하가, 44, 184
가가, 75, 149
나파, 77, 144
아하, 62, 163
차나, 96, 169
가파, 76, 193
카아, 69, 160
차가, 98, 145
하사, 42, 161
파아, 91, 197
자차, 40, 195
자바, 71, 182
다타, 80, 140
아마, 85, 149
나바, 45, 166
사카, 70, 192
라아, 60, 195
마자, 68, 148
자라, 96, 140
다가, 45, 156
차타, 43, 157
다라, 82, 159
나파, 67, 195
차타, 99, 187
파하, 61, 183
마가, 84, 194
타라, 78, 147
바바, 97, 165
하자, 56, 151
자가, 96, 195
차가, 84, 152
하카, 60, 147
파바, 90, 190
사나, 84, 186
사마, 60, 153
타자, 81, 168
차카, 70, 142
파타, 89, 197
자파, 83, 155
파하, 61, 154
나라, 54, 155
마나, 66, 148
사마, 43, 185
사카, 49, 163
아파, 54, 190
아바, 68, 192
가라, 45, 197
라가, 56, 142
자아, 61, 195
자타, 77, 147
자타, 47, 157
바다, 53, 163
아하, 50, 152
아다, 83, 173
사라, 92, 187
마파, 88, 193
다마, 90, 179
차가, 98, 190
라파, 94, 176
하자, 95, 146
자카, 93, 179
가하, 83, 140
파라, 75, 151
하다, 56, 152
자사, 43, 186
자가, 53, 182
타하, 55, 153
차차, 72, 176
마다, 57, 180
파파, 61, 176
가차, 95, 174
자마, 61, 168
다라, 56, 168
라바, 97, 195
아차, 63, 175
나아, 89, 180
타아, 43, 169
나가, 86, 195
사카, 63, 141
아타, 82, 196
사가, 71, 150
아사, 91, 151
카파, 83, 193
바파, 42, 194
가하, 68, 164
자카, 99, 169
바차, 53, 194
다바, 61, 156
파하, 54, 191
자차, 78, 191
차마, 46, 142
마파, 83, 198
사카, 62, 153
하라, 64, 166
바파, 48, 196
자사, 77, 150
카차, 69, 188
하자, 75, 152
바사, 79, 191
가하, 57, 161
가카, 80, 152
가파, 65, 145
파아, 94, 161
마아, 45, 196
사마, 88, 161
파하, 83, 193
자아, 55, 194
마파, 43, 145
카카, 66, 185
파아, 52, 140
사자, 67, 162
자다, 99, 162
사타, 63, 179
타아, 92, 194
라사, 94, 192
타라, 52, 154
바타, 82, 192
다차, 64, 180
차라, 68, 163
하라, 77, 188
가라, 91, 146
나가, 99, 146
아라, 53, 160
파아, 83, 163
자마, 94, 173
마아, 89, 160
라자, 42, 149
차아, 86, 144
다자, 52, 172
하카, 82, 149
타가, 97, 178
다라, 64, 151
차차, 92, 187
마타, 58, 178
바바, 91, 169
파차, 71, 191
가바, 66, 194
아하, 82, 194
아하, 51, 178
차아, 91, 173
하마, 70, 194
하타, 86, 148
마하, 40, 142
카카, 98, 172
바다, 81, 197
아파, 81, 175
가파, 68, 185
타나, 63, 191
사가, 87, 171
나타, 89, 144
아라, 78, 145
바마, 49, 184
타사, 64, 169
카라, 52, 141
하타, 57, 172
마카, 97, 196
타타, 55, 141
차카, 62, 150
자타, 74, 149
차마, 79, 168
바가, 78, 151
파바, 87, 185
마바, 86, 160
차자, 90, 174
나파, 54, 196
사카, 58, 163
차카, 77, 189
카파, 66, 143
마나, 54, 149
차자, 95, 176
다마, 88, 187
다하, 91, 168
사라, 86, 180
차나, 95, 199
아파, 46, 142
하파, 50, 149
라파, 72, 148
파차, 83, 167
하가, 79, 182
라가, 75, 157
아나, 65, 179
자차, 68, 198
사하, 88, 141
파사, 54, 140
다하, 50, 177
차하, 73, 159
하하, 46, 162
다아, 55, 165
카마, 81, 161
마자, 43, 145
다하, 75, 188
사다, 48, 175
하차, 70, 195
타아, 44, 153
파타, 88, 148
카하, 96, 166
파아, 40, 180
차하, 79, 154
타다, 84, 198
차카, 93, 140
마다, 45, 192
가다, 50, 144
마하, 47, 195
하자, 83, 141
자자, 60, 197
아가, 47, 184
사차, 63, 143
파타, 54, 157
다파, 79, 157
라나, 97, 141
마타, 65, 190
마가, 62, 160
카다, 84, 167
사아, 95, 199
라아, 58, 173
차바, 41, 141
차마, 48, 177
카바, 72, 182
카다, 67, 195
차나, 55, 167
파사, 93, 187
카카, 66, 192
아다, 99, 197
마카, 54, 154
자차, 48, 141
다가, 90, 191
자바, 72, 162
마다, 97, 190
다라, 59, 172
자나, 91, 177
사다, 41, 176
차아, 93, 160
하자, 61, 170
타아, 59, 154
차자, 43, 194
다마, 55, 187
차바, 92, 163
나자, 91, 142
나나, 55, 154
카다, 74, 143
하가, 72, 148
나가, 68, 144
카차, 45, 177
아가, 84, 182
자가, 41, 181
하차, 64, 168
아아, 62, 177
카바, 41, 164
바하, 64, 147
아가, 79, 199
하다, 64, 193
다바, 73, 167
가라, 90, 164
가라, 81, 143
타하, 81, 141
파하, 57, 166
바자, 95, 196
라사, 76, 191
사나, 72, 163
라나, 96, 166
아차, 76, 168
아가, 61, 172
사가, 94, 169
바나, 83, 174
마라, 51, 196
파파, 67, 158
가아, 69, 141
타바, 71, 157
라마, 69, 176
마다, 49, 188
다하, 93, 146
하하, 81, 194
아가, 55, 156
마사, 98, 186
나나, 80, 140
타카, 84, 164
타라, 90, 198
자하, 74, 173
자타, 48, 165
차마, 76, 160
다차, 77, 171
나카, 51, 196
자마, 59, 158
다카, 48, 140
바아, 74, 178
파나, 56, 168
자타, 51, 160
자차, 95, 157
바타, 77, 196
라아, 69, 145
아나, 94, 175
아아, 72, 176
파타, 82, 144
파바, 66, 156
바카, 41, 185
하바, 53, 160
타카, 64, 151
하파, 99, 190
파카, 69, 185
파라, 79, 157
가아, 75, 180
다라, 56, 186
라마, 65, 173
마타, 97, 198
자마, 59, 144
나라, 85, 153
마나, 67, 165
마파, 93, 177
하파, 56, 151
차자, 53, 157
가하, 75, 161
사자, 84, 153
타차, 76, 147
카나, 50, 159
아사, 66, 148
바사, 52, 156
라바, 57, 196
나아, 99, 156
나라, 67, 171
타라, 74, 149
차가, 88, 196
아카, 69, 174
나하, 89, 147
마나, 72, 169
아나, 40, 196
차나, 61, 193
나나, 63, 186
마바, 61, 180
타나, 98, 150
파하, 61, 171
타차, 59, 175
사바, 75, 142
다아, 92, 187
다타, 64, 167
다파, 74, 184
아나, 49, 154
차파, 51, 162
파마, 55, 179
사아, 88, 173
아카, 69, 199
카가, 74, 177
파자, 83, 195
마라, 90, 169
사가, 68, 179
타차, 85, 176
바바, 56, 166
차타, 46, 189
타하, 77, 184
